,Date,Pitcher,RelSpeed,SpinRate,Tilt,InducedVertBreak,HorzBreak,VertBreak,RelHeight,RelSide,VertApprAngle,HorzApprAngle,Inning,ZoneSpeed,ZoneTime,EffectiveVelo,SpeedDrop,Extension,PitcherThrows,Batter,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,VertRelAngle,HorzRelAngle,PlateLocHeight,PlateLocSide,HitSpinAxis,HangTime,Bearing,Distance,HitSpinRate,Direction,Angle,ExitSpeed
107,2023-02-03,"Hilton, Jake",84.94401,2136.851104,10:30,13.99997,-13.80666,-25.66273,5.18117,-1.05107,-7.386521,-1.81702,4,77.58547,0.453276,83.15563,7.35854,5.41382,Left,"Tanner, Elijah",Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,-2.639743,0.641589,0.5677,-1.60053,,,,,,,,
108,2023-02-03,"Hilton, Jake",70.8139,1302.57741,10:15,9.32083,-9.07437,-46.9627,5.15377,-1.15891,-5.581962,-1.425615,4,64.62085,0.539961,69.8059,6.19306,5.72484,Left,"Dryden, Hunter",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,3.117052,0.196116,4.14635,-1.73244,,,,,,,,
109,2023-02-03,"Hilton, Jake",84.81637,2224.783318,10:45,16.48111,-11.40008,-23.26812,5.18784,-1.11388,-4.593501,-0.244554,4,76.98729,0.45377,83.0651,7.82908,5.44262,Left,"Dryden, Hunter",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-0.23018,1.783591,3.0332,-0.39331,,,,,,,,
110,2023-02-03,"Hilton, Jake",85.19903,2171.885494,10:30,15.41796,-13.75875,-24.06556,5.18808,-1.16251,-4.443169,-0.943794,4,77.10446,0.452251,83.34409,8.09457,5.45296,Left,"Dryden, Hunter",Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0.069592,1.504932,3.24779,-0.8999,,,,,,,,
111,2023-02-03,"Hilton, Jake",85.56147,2019.564181,11:30,13.55812,-4.1452,-24.81482,5.18832,-1.09833,-4.594359,1.202242,4,78.32569,0.445845,84.54158,7.23579,5.69748,Left,"Dryden, Hunter",Fastball,Cutter,StrikeSwinging,Strikeout,Undefined,Undefined,0.03811,1.942917,3.15596,0.3675,,,,,,,,
112,2023-02-03,"Hilton, Jake",86.8235,2177.803389,11:30,15.06973,-4.3824,-22.36198,5.24809,-1.03536,-3.591837,0.582908,4,78.97439,0.440343,85.59785,7.8491,5.70797,Left,"Ley, Cameron",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0.616353,1.366335,3.95904,-0.1273,,,,,,,,
113,2023-02-03,"Hilton, Jake",85.99427,2037.320151,11:30,15.19721,-4.66827,-23.02958,5.3012,-1.01177,-3.816139,0.795916,4,78.07628,0.444995,84.703,7.91799,5.7203,Left,"Ley, Cameron",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0.520221,1.630472,3.86686,0.11838,,,,,,,,
114,2023-02-03,"Hilton, Jake",86.80117,2165.962859,11:30,17.18202,-3.43717,-20.64639,5.31063,-0.98426,-1.632492,-0.063621,4,78.22525,0.44267,85.14786,8.57593,5.66361,Left,"Ley, Cameron",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,2.290217,0.550226,5.72691,-0.7576,,,,,,,,
115,2023-02-03,"Hilton, Jake",71.77808,2498.930089,4:15,-11.79631,16.5282,-67.77744,4.72141,-1.56343,-7.198025,2.05082,4,65.50992,0.538508,69.9942,6.26816,5.23873,Left,"Ley, Cameron",Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,5.088968,-0.875032,3.86956,-1.00858,,,,,,,,
116,2023-02-03,"Hilton, Jake",83.95398,2026.790713,11:45,16.74737,-2.79414,-23.52013,5.12302,-1.12159,-2.575058,-0.054267,4,75.93882,0.456719,82.52879,8.01516,5.6864,Left,"Ley, Cameron",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1.869591,0.444994,4.90629,-0.93965,,,,,,,,
